location,bedrooms,bathrooms,area,price
F-10,7,7,36 Marla,169433349
G-13,8,9,35 Marla,107249756
G-13,6,6,8 Marla,29873364
F-10,5,6,17 Marla,80331672
DHA Phase 2,8,9,23 Marla,73556222
F-10,5,7,12 Marla,56551766
Bahria Town,3,4,11 Marla,28842969
G-13,9,9,34 Marla,98263769
Bahria Town,5,5,15 Marla,43388567
F-10,6,6,34 Marla,150711041
Bahria Town,4,4,20 Marla,53436574
G-13,5,6,7 Marla,24664448
Bahria Town,6,8,27 Marla,70346511
G-13,8,10,33 Marla,92697017
Bahria Town,4,6,27 Marla,61077937
G-13,5,5,31 Marla,83363473
Bahria Town,7,8,23 Marla,55377146
G-13,6,7,9 Marla,31184456
Bahria Town,7,9,27 Marla,75100613
G-13,6,7,27 Marla,70174095
F-10,5,6,16 Marla,77599514
F-10,4,6,6 Marla,34112802
G-13,7,8,21 Marla,61375932
DHA Phase 2,8,8,17 Marla,59549084
F-10,4,4,18 Marla,95297816
DHA Phase 2,8,9,26 Marla,81903949
Bahria Town,9,10,31 Marla,87370378
DHA Phase 2,6,8,14 Marla,51807359
Bahria Town,4,6,18 Marla,41046233
DHA Phase 2,4,6,11 Marla,38336522
Bahria Town,9,11,17 Marla,46767124
Bahria Town,6,6,36 Marla,90278080
Bahria Town,6,6,19 Marla,50626712
DHA Phase 2,5,7,39 Marla,122854420
Bahria Town,5,7,13 Marla,32801306
F-10,4,5,9 Marla,50098391
DHA Phase 2,5,7,10 Marla,37616416
Bahria Town,8,8,33 Marla,90171372
DHA Phase 2,7,8,20 Marla,72903204
DHA Phase 2,5,5,31 Marla,99115807
F-10,4,6,14 Marla,65078709
Bahria Town,6,8,22 Marla,60720081
F-10,6,6,8 Marla,45771447
G-13,6,6,32 Marla,85684266
G-13,6,8,12 Marla,36400756
G-13,7,7,26 Marla,78988368
Bahria Town,4,4,24 Marla,53893120
DHA Phase 2,6,6,10 Marla,39798946
DHA Phase 2,9,11,32 Marla,104566980
DHA Phase 2,6,7,14 Marla,47238053
Bahria Town,8,8,29 Marla,79572030
F-10,5,5,7 Marla,35798062
DHA Phase 2,3,5,5 Marla,20531937
Bahria Town,7,8,29 Marla,80763870
G-13,4,4,24 Marla,68468860
G-13,8,8,37 Marla,113159928
G-13,8,10,35 Marla,91136414
F-10,4,6,24 Marla,104928178
G-13,5,6,8 Marla,27407973
G-13,8,9,35 Marla,101290790
Bahria Town,4,6,21 Marla,55300160
F-10,6,7,8 Marla,40515422
Bahria Town,6,7,9 Marla,28677181
DHA Phase 2,9,9,34 Marla,113938673
Bahria Town,5,7,35 Marla,81891005
G-13,8,8,24 Marla,75596443
DHA Phase 2,4,6,27 Marla,79785603
G-13,9,9,17 Marla,55328719
G-13,7,9,40 Marla,108643342
Bahria Town,4,6,21 Marla,54833366
Bahria Town,9,10,31 Marla,85520301
F-10,9,9,15 Marla,80567698
G-13,4,4,39 Marla,95421203
G-13,9,10,37 Marla,97864577
DHA Phase 2,5,7,35 Marla,116457589
Bahria Town,4,5,11 Marla,30461886
Bahria Town,4,5,37 Marla,83457903
G-13,4,6,15 Marla,42244248
F-10,6,7,20 Marla,106580949
Bahria Town,8,8,22 Marla,58320282
F-10,3,4,14 Marla,72168180
G-13,4,5,19 Marla,51992768
DHA Phase 2,5,6,17 Marla,54531255
G-13,5,6,7 Marla,22621146
F-10,6,8,29 Marla,137147508
G-13,6,8,32 Marla,87088711
F-10,8,8,25 Marla,129805669
Bahria Town,9,11,39 Marla,91231700
Bahria Town,4,6,35 Marla,82386637
F-10,3,5,9 Marla,45832175
Bahria Town,8,10,35 Marla,96772764
Bahria Town,5,5,22 Marla,57684233
F-10,8,9,23 Marla,109907014
F-10,5,6,16 Marla,77391262
DHA Phase 2,4,4,26 Marla,76704590
DHA Phase 2,6,7,10 Marla,41644697
Bahria Town,9,11,34 Marla,93500093
F-10,5,6,17 Marla,91676933
Bahria Town,8,8,27 Marla,72229441
G-13,2,2,5 Marla,13981831
Bahria Town,9,11,33 Marla,82301619
Bahria Town,9,10,30 Marla,85361529
DHA Phase 2,5,5,40 Marla,139421317
G-13,9,11,15 Marla,55388092
G-13,5,7,12 Marla,36582796
F-10,7,9,20 Marla,101590198
DHA Phase 2,4,4,38 Marla,111239671
Bahria Town,8,10,28 Marla,76265349
F-10,6,6,10 Marla,51123741
Bahria Town,4,4,26 Marla,63125658
G-13,5,5,39 Marla,107147562
G-13,3,5,5 Marla,16975073
DHA Phase 2,9,10,22 Marla,77921438
DHA Phase 2,9,11,29 Marla,109123861
DHA Phase 2,8,10,36 Marla,109823147
G-13,8,10,31 Marla,83383993
F-10,7,7,15 Marla,80346821
G-13,7,9,25 Marla,77728846
G-13,6,8,8 Marla,28327630
Bahria Town,8,10,40 Marla,102292144
Bahria Town,4,4,30 Marla,78834385
F-10,7,7,27 Marla,140509455
DHA Phase 2,6,8,13 Marla,50662948
G-13,4,4,12 Marla,39404105
F-10,3,4,7 Marla,37438055
DHA Phase 2,6,7,13 Marla,50365630
F-10,4,4,7 Marla,38199449
G-13,4,5,10 Marla,31564585
F-10,8,10,28 Marla,139570473
DHA Phase 2,6,8,25 Marla,79931956
G-13,8,10,32 Marla,88852245
DHA Phase 2,6,7,40 Marla,117272550
Bahria Town,3,4,10 Marla,26696639
DHA Phase 2,6,7,10 Marla,35734141
Bahria Town,7,9,21 Marla,56918331
Bahria Town,7,7,36 Marla,88222225
G-13,9,11,24 Marla,74066855
DHA Phase 2,4,5,17 Marla,53891075
F-10,8,10,16 Marla,85242356
F-10,8,10,28 Marla,126566497
F-10,8,8,33 Marla,144563446
F-10,7,7,26 Marla,119232821
Bahria Town,5,5,9 Marla,25359033
DHA Phase 2,6,6,25 Marla,92012618
DHA Phase 2,9,11,40 Marla,135004577
G-13,8,10,34 Marla,104436225
Bahria Town,5,6,25 Marla,62715938
F-10,7,8,28 Marla,139633434
G-13,4,6,5 Marla,19226021
DHA Phase 2,4,4,18 Marla,56577718
G-13,9,9,40 Marla,109221944
DHA Phase 2,8,9,31 Marla,97322250
Bahria Town,5,5,20 Marla,56260084
DHA Phase 2,6,7,10 Marla,38915136
F-10,6,6,28 Marla,126714076
G-13,5,5,29 Marla,83141056
DHA Phase 2,9,10,23 Marla,81197242
DHA Phase 2,5,5,14 Marla,49397531
G-13,6,6,9 Marla,29904946
Bahria Town,7,7,22 Marla,58593433
G-13,9,9,19 Marla,60943708
F-10,7,9,24 Marla,128587096
F-10,3,4,13 Marla,68656157
G-13,7,7,34 Marla,96514931
F-10,5,5,11 Marla,56761793
F-10,6,8,32 Marla,149055873
F-10,7,7,23 Marla,120444108
G-13,9,11,19 Marla,65926065
DHA Phase 2,8,9,28 Marla,88173589
G-13,5,5,10 Marla,29261591
F-10,5,7,37 Marla,182133564
G-13,5,7,39 Marla,106114410
Bahria Town,5,6,35 Marla,77865376
DHA Phase 2,2,2,6 Marla,21487051
DHA Phase 2,6,6,10 Marla,41552935
G-13,3,5,12 Marla,34966639
DHA Phase 2,4,5,8 Marla,28278869
DHA Phase 2,8,8,37 Marla,121277815
F-10,6,8,32 Marla,152478087
F-10,6,6,25 Marla,118596961
Bahria Town,4,4,12 Marla,34978033
DHA Phase 2,8,9,18 Marla,69776247
F-10,9,11,16 Marla,80235936
G-13,4,5,6 Marla,20963190
G-13,6,8,27 Marla,71958857
F-10,6,7,14 Marla,67345904
Bahria Town,9,9,27 Marla,66016827
G-13,6,7,31 Marla,93680915
G-13,5,7,12 Marla,36500649
G-13,5,6,9 Marla,30054161
F-10,6,7,12 Marla,68059105
F-10,4,4,6 Marla,35370324
Bahria Town,5,5,35 Marla,92406293
G-13,7,9,35 Marla,97371673
Bahria Town,4,6,5 Marla,18086472
F-10,8,9,26 Marla,118540321
Bahria Town,5,7,8 Marla,25455831
G-13,8,10,16 Marla,49602184
DHA Phase 2,8,10,27 Marla,100619884
Bahria Town,4,6,27 Marla,66381395
DHA Phase 2,5,5,21 Marla,70729487
DHA Phase 2,5,5,31 Marla,98432235
Bahria Town,3,3,7 Marla,21083669
F-10,6,8,29 Marla,151257780
Bahria Town,5,6,13 Marla,32612459
DHA Phase 2,5,7,18 Marla,60618906
DHA Phase 2,5,6,16 Marla,50960221
F-10,9,10,33 Marla,174592251
DHA Phase 2,7,7,40 Marla,134503065
Bahria Town,5,7,32 Marla,73041289
Bahria Town,4,4,11 Marla,29454905
Bahria Town,5,7,26 Marla,60824471
G-13,6,6,32 Marla,95887251
DHA Phase 2,3,4,13 Marla,42612102
G-13,7,8,26 Marla,71184685
F-10,5,6,26 Marla,132409549
Bahria Town,6,6,37 Marla,90344467
G-13,6,8,27 Marla,77509351
DHA Phase 2,4,6,21 Marla,73717317
G-13,6,6,16 Marla,50470111
F-10,6,8,38 Marla,184773326
DHA Phase 2,8,9,25 Marla,82890747
G-13,6,6,14 Marla,45517059
F-10,5,6,21 Marla,99326604
F-10,8,9,17 Marla,90530552
Bahria Town,3,4,7 Marla,20811678
G-13,4,4,16 Marla,46767204
DHA Phase 2,7,8,25 Marla,84404387
G-13,5,5,39 Marla,103104064
Bahria Town,5,7,18 Marla,46540496
G-13,4,4,9 Marla,26388576
Bahria Town,4,6,24 Marla,56521596
G-13,4,6,5 Marla,19123273
DHA Phase 2,5,7,33 Marla,103671631
Bahria Town,8,8,38 Marla,88104377
Bahria Town,6,8,20 Marla,51578446
DHA Phase 2,4,4,13 Marla,44139655
G-13,7,7,38 Marla,95783188
DHA Phase 2,8,9,16 Marla,59699581
Bahria Town,5,5,8 Marla,24700613
DHA Phase 2,6,8,8 Marla,32090160
F-10,8,9,38 Marla,178258941
F-10,4,4,13 Marla,58275357
F-10,5,7,22 Marla,107186202
F-10,9,11,37 Marla,190382480
DHA Phase 2,5,5,32 Marla,113141698
G-13,7,9,17 Marla,56977684
F-10,6,7,36 Marla,172517883
G-13,9,11,24 Marla,74988225
F-10,9,10,39 Marla,196385177
F-10,9,9,25 Marla,124101366
DHA Phase 2,9,11,25 Marla,97147657
F-10,5,7,27 Marla,140085043
F-10,9,10,15 Marla,78597590
G-13,8,8,22 Marla,68436515
DHA Phase 2,9,9,27 Marla,95798954
DHA Phase 2,6,7,11 Marla,43080823
G-13,4,5,9 Marla,30286635
F-10,6,8,23 Marla,103365870
Bahria Town,8,9,17 Marla,49371042
G-13,8,10,33 Marla,89346967
Bahria Town,7,9,25 Marla,62075826
G-13,4,4,7 Marla,21877712
DHA Phase 2,8,10,32 Marla,112689372
Bahria Town,6,6,33 Marla,84034280
DHA Phase 2,6,8,27 Marla,90402270
G-13,7,9,29 Marla,89931880
G-13,5,5,11 Marla,33962698
DHA Phase 2,6,7,9 Marla,37829572
Bahria Town,4,5,26 Marla,58579852
DHA Phase 2,7,8,24 Marla,81159812
F-10,5,6,12 Marla,57752436
DHA Phase 2,4,4,35 Marla,111037610
Bahria Town,8,10,37 Marla,96630357
F-10,9,10,28 Marla,148069728
F-10,7,7,34 Marla,149694563
G-13,5,7,13 Marla,39075799
G-13,3,4,11 Marla,31934489
F-10,5,6,15 Marla,75166352
Bahria Town,5,5,25 Marla,58870575
G-13,9,10,15 Marla,55348607
DHA Phase 2,9,9,19 Marla,63655610
F-10,4,5,36 Marla,170208803
F-10,9,10,36 Marla,159527225
F-10,5,7,16 Marla,78107376
F-10,5,6,34 Marla,159940008
G-13,6,6,7 Marla,24441035
Bahria Town,4,4,10 Marla,25858790
DHA Phase 2,3,5,9 Marla,31483485
Bahria Town,4,4,36 Marla,83133946
G-13,6,8,33 Marla,93094092
F-10,9,10,24 Marla,131245783
DHA Phase 2,3,4,7 Marla,24697735
Bahria Town,5,7,10 Marla,31938164
DHA Phase 2,5,6,39 Marla,114171923
G-13,4,5,28 Marla,70204553
Bahria Town,4,5,20 Marla,54831333
Bahria Town,5,7,34 Marla,80792242
G-13,7,9,19 Marla,60898458
DHA Phase 2,3,5,14 Marla,42560524
Bahria Town,6,6,16 Marla,45967420
Bahria Town,9,10,36 Marla,97415689
F-10,4,4,10 Marla,47642885
F-10,9,9,38 Marla,184119150
Bahria Town,5,7,33 Marla,80631550
G-13,8,8,18 Marla,61512990
F-10,5,6,35 Marla,154733669
G-13,3,3,7 Marla,20358664
DHA Phase 2,8,10,26 Marla,86652267
F-10,5,5,7 Marla,39828985
DHA Phase 2,9,9,33 Marla,107487454
F-10,8,8,30 Marla,142929943
F-10,9,9,26 Marla,126631276
F-10,3,3,12 Marla,62889042
F-10,5,7,30 Marla,140642549
DHA Phase 2,6,6,34 Marla,114656400
G-13,4,4,34 Marla,88684888
DHA Phase 2,9,11,15 Marla,63354803
DHA Phase 2,9,10,36 Marla,110146709
Bahria Town,4,5,30 Marla,76835690
Bahria Town,4,5,23 Marla,60326019
F-10,7,7,34 Marla,152611985
DHA Phase 2,7,9,31 Marla,101023093
Bahria Town,8,8,36 Marla,97942598
DHA Phase 2,5,7,35 Marla,102304719
G-13,6,8,18 Marla,49055958
Bahria Town,4,6,12 Marla,32280272
Bahria Town,5,6,16 Marla,42705172
DHA Phase 2,6,8,13 Marla,49130684
Bahria Town,6,8,20 Marla,49129308
DHA Phase 2,3,3,11 Marla,39533101
DHA Phase 2,6,6,30 Marla,89250543
DHA Phase 2,5,5,34 Marla,120352980
G-13,6,8,20 Marla,62062900
DHA Phase 2,5,5,32 Marla,102102956
F-10,6,6,31 Marla,136822220
DHA Phase 2,6,6,15 Marla,53119248
Bahria Town,8,9,31 Marla,82925852
Bahria Town,5,5,13 Marla,38229323
G-13,3,5,7 Marla,22055242
G-13,5,6,15 Marla,41397380
DHA Phase 2,5,6,13 Marla,50564287
F-10,6,8,7 Marla,39942450
Bahria Town,4,5,30 Marla,68136341
Bahria Town,5,5,37 Marla,83929735
G-13,6,7,17 Marla,46674633
DHA Phase 2,5,7,29 Marla,90135988
Bahria Town,9,11,36 Marla,98335183
F-10,9,10,31 Marla,149438133
DHA Phase 2,3,4,11 Marla,40570763
G-13,6,7,8 Marla,31391306
DHA Phase 2,8,9,22 Marla,83322367
G-13,5,7,25 Marla,69193395
DHA Phase 2,4,5,38 Marla,113009082
DHA Phase 2,5,6,10 Marla,39246626
Bahria Town,5,6,37 Marla,93120675
G-13,4,5,5 Marla,17108243
F-10,3,4,9 Marla,42746575
F-10,5,5,39 Marla,173857781
Bahria Town,3,4,11 Marla,30306348
Bahria Town,9,11,32 Marla,86675780
DHA Phase 2,8,10,31 Marla,114630458
Bahria Town,7,7,31 Marla,79574170
Bahria Town,4,6,20 Marla,47781620
Bahria Town,4,6,24 Marla,60330711
Bahria Town,9,11,15 Marla,43493945
Bahria Town,6,7,20 Marla,49028026
F-10,8,9,21 Marla,99694011
G-13,3,5,7 Marla,22875204
G-13,5,6,35 Marla,95741642
DHA Phase 2,6,7,28 Marla,85463788
F-10,6,6,29 Marla,132804150
F-10,9,10,24 Marla,109699087
Bahria Town,4,4,11 Marla,32426056
Bahria Town,4,4,14 Marla,35603833
G-13,5,5,39 Marla,111173380
G-13,5,5,29 Marla,81194243
F-10,6,7,10 Marla,54961973
G-13,3,5,14 Marla,39929263
DHA Phase 2,5,6,18 Marla,64403737
F-10,4,4,37 Marla,156511424
G-13,9,11,21 Marla,61649853
G-13,4,4,11 Marla,34119569
F-10,5,7,33 Marla,150152332
F-10,3,4,7 Marla,38027850
DHA Phase 2,7,7,18 Marla,67124272
Bahria Town,9,10,16 Marla,52522289
G-13,6,8,20 Marla,58736689
G-13,5,6,17 Marla,47171813
G-13,9,9,39 Marla,119399762
DHA Phase 2,4,4,18 Marla,65167047
G-13,3,4,12 Marla,32817520
Bahria Town,4,6,9 Marla,25236554
DHA Phase 2,6,6,28 Marla,86634231
Bahria Town,4,6,33 Marla,71643931
DHA Phase 2,7,7,17 Marla,67071799
G-13,4,6,23 Marla,62315905
G-13,8,8,18 Marla,54062907
G-13,5,7,16 Marla,42791872
F-10,7,8,32 Marla,141137191
Bahria Town,5,7,36 Marla,85614572
Bahria Town,3,3,6 Marla,18364108
DHA Phase 2,9,10,27 Marla,88890555
F-10,9,11,28 Marla,143136137
G-13,5,5,11 Marla,31603782
F-10,5,6,40 Marla,175755929
Bahria Town,3,5,5 Marla,15696834
DHA Phase 2,9,9,31 Marla,101348480
F-10,7,7,30 Marla,150083574
G-13,6,8,9 Marla,30694253
Bahria Town,7,8,38 Marla,88562441
G-13,7,7,22 Marla,60307231
F-10,6,8,11 Marla,59314678
DHA Phase 2,4,6,24 Marla,72715614
Bahria Town,5,5,28 Marla,71828200
F-10,4,6,33 Marla,142312507
DHA Phase 2,3,4,12 Marla,36706875
F-10,7,8,38 Marla,175589247
DHA Phase 2,5,7,15 Marla,50411629
Bahria Town,9,10,28 Marla,71935544
F-10,5,5,26 Marla,112924325
Bahria Town,5,6,13 Marla,38562163
F-10,7,8,39 Marla,198790518
Bahria Town,5,6,12 Marla,34253946
Bahria Town,5,5,28 Marla,67349296
Bahria Town,9,10,19 Marla,51301500
G-13,9,9,19 Marla,62130232
DHA Phase 2,9,10,29 Marla,94340175
DHA Phase 2,9,10,20 Marla,70737637
G-13,6,7,8 Marla,26827835
F-10,9,10,37 Marla,179880969
F-10,3,4,10 Marla,47162138
DHA Phase 2,9,9,38 Marla,122632756
F-10,5,6,34 Marla,153877086
F-10,7,7,31 Marla,140384511
Bahria Town,7,8,32 Marla,77119689
F-10,2,3,6 Marla,28171090
G-13,5,7,39 Marla,98633177
G-13,5,5,18 Marla,48743217
Bahria Town,5,6,7 Marla,21371167
DHA Phase 2,9,11,36 Marla,124083148
DHA Phase 2,4,6,10 Marla,37023228
DHA Phase 2,6,7,34 Marla,103825277
Bahria Town,5,6,19 Marla,53470654
G-13,5,7,11 Marla,35734295
Bahria Town,5,5,7 Marla,22186873
G-13,7,9,27 Marla,82139000
Bahria Town,9,11,26 Marla,72624304
G-13,4,4,11 Marla,30581971
DHA Phase 2,6,7,7 Marla,29362658
F-10,6,7,36 Marla,169950844
F-10,6,7,24 Marla,121870296
Bahria Town,5,6,33 Marla,82150250
DHA Phase 2,6,7,37 Marla,116651470
Bahria Town,5,5,29 Marla,77314939
Bahria Town,6,6,23 Marla,60844827
DHA Phase 2,7,7,30 Marla,99278227
F-10,8,9,28 Marla,140890664
Bahria Town,4,5,15 Marla,41509482
G-13,4,4,14 Marla,38901833
F-10,3,5,10 Marla,48041613
G-13,7,8,35 Marla,105968295
Bahria Town,4,5,25 Marla,62864047
G-13,6,6,15 Marla,45407855
F-10,7,7,18 Marla,97279446
F-10,7,9,32 Marla,143086277
DHA Phase 2,7,9,15 Marla,59260937
G-13,4,4,17 Marla,50161298
F-10,8,9,22 Marla,111372127
G-13,6,8,22 Marla,65325578
DHA Phase 2,2,2,5 Marla,19119568
F-10,6,8,39 Marla,195289257
F-10,4,6,32 Marla,148270027
Bahria Town,5,7,21 Marla,57302491
G-13,4,4,34 Marla,89543585
Bahria Town,9,9,32 Marla,81412873
DHA Phase 2,2,2,5 Marla,18443487
F-10,4,5,28 Marla,140223105
F-10,9,11,33 Marla,162164688
Bahria Town,3,4,11 Marla,26854159
G-13,6,6,32 Marla,84421106
F-10,7,7,32 Marla,146573387
DHA Phase 2,3,4,12 Marla,42167188
DHA Phase 2,2,3,5 Marla,16368008
F-10,5,7,40 Marla,169289422
Bahria Town,7,9,23 Marla,58182286
DHA Phase 2,9,10,38 Marla,136198158
F-10,9,10,16 Marla,93585366
Bahria Town,6,8,11 Marla,32260908
Bahria Town,7,8,39 Marla,87304657
DHA Phase 2,3,5,6 Marla,22430368
DHA Phase 2,6,6,30 Marla,101648354
DHA Phase 2,5,6,13 Marla,44521919
F-10,9,11,35 Marla,177789895
Bahria Town,2,2,5 Marla,14465555
G-13,6,8,35 Marla,95360206
F-10,5,6,10 Marla,56121071
G-13,5,7,23 Marla,60642716
Bahria Town,8,8,19 Marla,54764637
F-10,9,9,16 Marla,79796839
Bahria Town,4,6,11 Marla,31327865
Bahria Town,5,5,12 Marla,33671545
G-13,5,6,13 Marla,38122855
Bahria Town,4,5,17 Marla,43678988
Bahria Town,6,8,22 Marla,52773286
DHA Phase 2,8,9,37 Marla,111524664
G-13,9,11,38 Marla,99423953
Bahria Town,3,5,8 Marla,24178066
DHA Phase 2,7,9,28 Marla,87345829
F-10,6,7,15 Marla,80349759
G-13,6,7,30 Marla,89603802
Bahria Town,5,5,7 Marla,23510944
G-13,5,7,30 Marla,77292197
G-13,3,4,13 Marla,40276982
DHA Phase 2,8,9,16 Marla,55581795
DHA Phase 2,9,10,38 Marla,137030848
G-13,8,9,33 Marla,86968264
DHA Phase 2,6,7,9 Marla,33182893
DHA Phase 2,6,7,9 Marla,35600023
F-10,4,5,18 Marla,87076687
Bahria Town,7,7,15 Marla,43243258
F-10,6,8,30 Marla,140173627
Bahria Town,9,10,37 Marla,87074782
G-13,6,6,17 Marla,47697328
DHA Phase 2,4,4,17 Marla,59312059
Bahria Town,3,4,13 Marla,34978649
G-13,4,4,5 Marla,18668818
F-10,8,9,27 Marla,144684180
Bahria Town,6,6,11 Marla,31854988
F-10,7,7,30 Marla,153794000
DHA Phase 2,5,5,35 Marla,103584098
DHA Phase 2,8,8,20 Marla,78900745
G-13,5,7,35 Marla,100070401
DHA Phase 2,4,5,15 Marla,50678306
F-10,6,8,29 Marla,146064931
G-13,5,7,40 Marla,108512538
Bahria Town,5,5,29 Marla,65973758
DHA Phase 2,9,11,23 Marla,81055788
Bahria Town,3,3,8 Marla,23376039
DHA Phase 2,2,2,5 Marla,17515158
F-10,8,8,26 Marla,133760510
Bahria Town,6,7,16 Marla,48315978
G-13,5,5,14 Marla,40082766
F-10,7,8,39 Marla,187278691
G-13,6,6,34 Marla,95825265
G-13,4,4,28 Marla,72808744
F-10,4,6,17 Marla,84478920
Bahria Town,4,6,26 Marla,62897050
F-10,7,7,39 Marla,191158953
F-10,9,9,20 Marla,97096545
G-13,6,8,19 Marla,55634219
Bahria Town,8,8,15 Marla,46549247
Bahria Town,4,5,35 Marla,82052308
Bahria Town,9,9,30 Marla,71941212
G-13,8,10,20 Marla,62816337
DHA Phase 2,4,5,40 Marla,128802532
F-10,5,5,35 Marla,173614072
Bahria Town,4,6,15 Marla,41158970
F-10,6,8,35 Marla,181596045
DHA Phase 2,7,7,30 Marla,106228525
F-10,7,9,40 Marla,185925520
F-10,5,6,32 Marla,154518081
F-10,6,7,16 Marla,85248471
G-13,7,7,18 Marla,58149835
G-13,6,8,30 Marla,80472342
DHA Phase 2,4,5,16 Marla,51032596
F-10,7,9,19 Marla,99309770
G-13,2,3,6 Marla,17559840
Bahria Town,5,6,14 Marla,42116327
Bahria Town,4,6,34 Marla,82193677
Bahria Town,6,7,12 Marla,35962491
F-10,3,3,8 Marla,40055501
DHA Phase 2,6,8,29 Marla,97046593
Bahria Town,6,6,22 Marla,60538295
F-10,5,5,40 Marla,187174648
G-13,6,6,35 Marla,102617102
G-13,5,5,8 Marla,25566720
G-13,7,8,34 Marla,91633847
F-10,6,6,35 Marla,166106807
G-13,9,9,29 Marla,78606909
Bahria Town,4,5,6 Marla,18443432
F-10,7,8,23 Marla,106660671
F-10,6,7,36 Marla,164644758
G-13,6,8,12 Marla,39096562
Bahria Town,3,4,14 Marla,35977434
DHA Phase 2,4,6,29 Marla,94034975
Bahria Town,4,4,5 Marla,15622089
G-13,4,4,6 Marla,20382441
F-10,3,5,6 Marla,29479055
G-13,6,6,11 Marla,35015577
DHA Phase 2,6,7,37 Marla,122622662
Bahria Town,6,7,33 Marla,78166071
G-13,5,5,31 Marla,88202111
G-13,4,4,7 Marla,22842046
F-10,4,6,37 Marla,176277655
F-10,7,9,28 Marla,141866110
Bahria Town,5,5,34 Marla,82278315
G-13,9,10,18 Marla,60780120
DHA Phase 2,7,8,24 Marla,79260138
DHA Phase 2,4,6,23 Marla,71826239
Bahria Town,5,7,21 Marla,58779552
DHA Phase 2,9,11,39 Marla,131603841
F-10,6,6,11 Marla,64170368
G-13,4,5,10 Marla,28520032
DHA Phase 2,4,6,5 Marla,21252372
Bahria Town,4,5,29 Marla,76150862
DHA Phase 2,5,6,30 Marla,91387564
Bahria Town,2,3,6 Marla,17729161
F-10,9,11,25 Marla,122514672
Bahria Town,7,8,32 Marla,73612052
DHA Phase 2,7,7,35 Marla,113637403
F-10,4,6,8 Marla,43224135
F-10,8,10,25 Marla,112412530
Bahria Town,7,9,18 Marla,46262455
G-13,8,9,25 Marla,73452678
G-13,6,8,16 Marla,48350801
F-10,3,3,13 Marla,61892076
F-10,4,5,17 Marla,89753492
G-13,6,6,31 Marla,93804110
Bahria Town,5,7,15 Marla,43101641
F-10,9,9,21 Marla,101436812
F-10,5,5,12 Marla,60579907
G-13,4,5,23 Marla,57931308
F-10,9,9,30 Marla,159006800
G-13,4,6,34 Marla,94502632
Bahria Town,3,5,5 Marla,16431251
G-13,7,8,20 Marla,58686381
Bahria Town,6,6,33 Marla,83464281
Bahria Town,4,4,14 Marla,39178769
F-10,8,9,27 Marla,136613565
Bahria Town,5,5,13 Marla,33540698
F-10,9,9,30 Marla,135290503
Bahria Town,6,7,23 Marla,60284688
DHA Phase 2,7,7,31 Marla,100231248
G-13,3,5,9 Marla,27612501
DHA Phase 2,7,9,15 Marla,58832980
G-13,8,10,35 Marla,96448753
DHA Phase 2,4,6,8 Marla,29765449
G-13,6,6,24 Marla,65111042
Bahria Town,7,8,31 Marla,82096455
Bahria Town,4,6,11 Marla,27370977
DHA Phase 2,2,4,6 Marla,18965055
F-10,5,7,36 Marla,182321404
DHA Phase 2,6,8,9 Marla,35354511
DHA Phase 2,8,9,24 Marla,75812664
DHA Phase 2,6,6,30 Marla,89206810
G-13,4,4,7 Marla,22054633
G-13,6,7,34 Marla,86429346
DHA Phase 2,6,6,29 Marla,98210812
Bahria Town,5,5,31 Marla,75427923
Bahria Town,6,7,25 Marla,69145000
G-13,5,6,32 Marla,94344330
DHA Phase 2,4,4,7 Marla,25547557
F-10,5,5,27 Marla,123869489
G-13,8,8,35 Marla,93092832
Bahria Town,6,7,27 Marla,65087194
G-13,4,4,32 Marla,79974175
G-13,8,10,33 Marla,101771804
G-13,8,8,15 Marla,46382951
Bahria Town,9,10,30 Marla,76955448
DHA Phase 2,7,9,20 Marla,70371369
F-10,4,4,9 Marla,49939959
G-13,5,6,36 Marla,96147027
G-13,6,7,40 Marla,107434634
DHA Phase 2,4,6,35 Marla,108755082
F-10,2,3,6 Marla,27130429
Bahria Town,5,6,29 Marla,67173229
F-10,9,9,21 Marla,101246780
F-10,6,6,8 Marla,42683740
F-10,3,3,7 Marla,35542614
DHA Phase 2,3,5,6 Marla,22522793
DHA Phase 2,4,4,6 Marla,23321138
Bahria Town,5,6,34 Marla,82983413
F-10,4,4,37 Marla,159094441
DHA Phase 2,7,9,31 Marla,98837342
Bahria Town,7,9,25 Marla,65554776
F-10,7,8,26 Marla,131470407
G-13,6,6,10 Marla,35970392
Bahria Town,7,9,18 Marla,46039503
F-10,8,8,25 Marla,129389110
Bahria Town,5,7,29 Marla,71199745
G-13,4,6,23 Marla,62165460
Bahria Town,6,7,30 Marla,81150490
Bahria Town,6,6,32 Marla,80652161
DHA Phase 2,6,6,29 Marla,96775166
DHA Phase 2,5,6,30 Marla,106376379
DHA Phase 2,5,6,34 Marla,112135214
DHA Phase 2,6,6,22 Marla,77896668
G-13,6,6,28 Marla,73552608
F-10,5,5,40 Marla,197024764
G-13,4,5,26 Marla,74778825
DHA Phase 2,4,6,39 Marla,114567472
F-10,7,8,28 Marla,144262771
G-13,5,6,23 Marla,70160402
DHA Phase 2,4,5,25 Marla,78983619
Bahria Town,7,9,34 Marla,82554172
DHA Phase 2,3,3,13 Marla,45792239
G-13,9,10,20 Marla,60780159
G-13,6,6,16 Marla,45410394
Bahria Town,3,5,10 Marla,24458537
